Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1436;1;-0.050;1.050;-3.422;-0.10;-0.20;-0.32;2.40;1.19;-7.75;-16.43;-1.97
1437;1;-0.050;1.150;-3.446;-0.05;-0.11;-0.21;1.87;0.77;-6.96;-14.04;-1.31
1438;1;-0.050;1.250;-3.471;-0.01;-0.05;-0.14;1.41;0.43;-6.02;-11.52;-0.77
1439;1;-0.050;1.350;-3.496;0.01;-0.01;-0.08;0.98;0.18;-5.05;-8.96;-0.41
1440;1;-0.050;1.450;-3.520;0.01;0.01;-0.05;0.65;-0.02;-4.21;-6.59;-0.19
1441;1;-0.050;1.550;-3.545;0.02;0.02;-0.04;0.48;-0.16;-3.53;-4.55;-0.08
1442;1;-0.050;1.650;-3.570;0.02;0.03;-0.02;0.34;-0.19;-2.94;-2.83;-0.05
1443;1;-0.050;1.750;-3.595;0.02;0.03;-0.02;0.24;-0.20;-2.49;-1.43;-0.04
1444;1;-0.050;1.850;-3.619;0.01;0.03;-0.01;0.18;-0.18;-2.10;-0.28;-0.08
1445;1;-0.050;1.950;-3.644;0.01;0.03;-0.01;0.13;-0.15;-1.75;0.67;-0.15
1446;1;-0.150;0.050;-3.200;5.38;7.99;-5.57;19.84;-48.58;47.91;54.63;-48.26
1447;1;-0.150;0.150;-3.224;3.22;3.85;-3.08;-13.82;-20.81;32.80;31.96;-25.63
1448;1;-0.150;0.250;-3.248;2.02;1.16;-2.62;-11.97;-5.61;22.47;14.30;-14.27
1449;1;-0.150;0.350;-3.272;0.88;0.22;-2.11;-5.59;-0.50;13.98;2.36;-8.10
1450;1;-0.150;0.450;-3.296;0.25;-0.17;-1.63;-1.80;1.06;7.45;-5.17;-3.90
1451;1;-0.150;0.550;-3.320;-0.07;-0.32;-1.22;0.34;1.44;2.67;-9.69;-1.14
1452;1;-0.150;0.650;-3.344;-0.19;-0.35;-0.90;1.38;1.41;-0.67;-12.20;0.66
1453;1;-0.150;0.750;-3.368;-0.22;-0.31;-0.65;1.74;1.24;-2.78;-13.35;1.79
1454;1;-0.150;0.850;-3.392;-0.20;-0.25;-0.45;1.72;1.01;-3.92;-13.56;2.45
1455;1;-0.150;0.950;-3.416;-0.16;-0.19;-0.31;1.51;0.78;-4.37;-13.07;2.78
1456;1;-0.150;1.050;-3.440;-0.11;-0.13;-0.21;1.23;0.56;-4.36;-12.08;2.86
1457;1;-0.150;1.150;-3.464;-0.08;-0.08;-0.14;0.97;0.36;-4.11;-10.76;2.78
1458;1;-0.150;1.250;-3.488;-0.05;-0.04;-0.09;0.78;0.18;-3.76;-9.25;2.58
1459;1;-0.150;1.350;-3.512;-0.03;-0.02;-0.05;0.54;0.08;-3.40;-7.58;2.28
1460;1;-0.150;1.450;-3.536;-0.02;0.00;-0.03;0.41;0.00;-3.09;-5.89;1.93
1461;1;-0.150;1.550;-3.560;-0.01;0.01;-0.02;0.35;-0.06;-2.79;-4.25;1.56
1462;1;-0.150;1.650;-3.585;0.00;0.01;-0.01;0.27;-0.09;-2.50;-2.78;1.21
1463;1;-0.150;1.750;-3.609;0.00;0.01;0.00;0.23;-0.10;-2.28;-1.55;0.92
1464;1;-0.150;1.850;-3.633;0.00;0.01;0.00;0.19;-0.08;-2.06;-0.50;0.65
1465;1;-0.150;1.950;-3.657;0.00;0.02;0.00;0.15;-0.06;-1.82;0.37;0.40
1466;1;-0.250;0.050;-3.224;4.33;4.50;-3.88;15.15;-25.13;50.06;51.52;-42.50
1467;1;-0.250;0.150;-3.248;3.57;2.71;-3.03;0.58;-15.98;35.41;36.90;-24.85
1468;1;-0.250;0.250;-3.271;2.29;1.20;-2.30;-3.13;-7.43;24.29;21.88;-11.93
1469;1;-0.250;0.350;-3.295;1.27;0.42;-1.77;-2.23;-2.85;15.99;10.61;-4.01
1470;1;-0.250;0.450;-3.318;0.59;0.04;-1.31;-0.72;-0.78;9.78;2.83;0.73
1471;1;-0.250;0.550;-3.341;0.20;-0.13;-0.94;0.31;0.09;5.26;-2.31;3.55
1472;1;-0.250;0.650;-3.365;0.00;-0.19;-0.66;0.81;0.41;2.11;-5.56;5.16
1473;1;-0.250;0.750;-3.388;-0.09;-0.19;-0.45;0.97;0.49;0.04;-7.49;5.97
1474;1;-0.250;0.850;-3.412;-0.11;-0.17;-0.31;0.93;0.46;-1.21;-8.48;6.25
1475;1;-0.250;0.950;-3.435;-0.11;-0.14;-0.20;0.80;0.38;-1.89;-8.77;6.18
1476;1;-0.250;1.050;-3.459;-0.09;-0.10;-0.13;0.64;0.30;-2.21;-8.54;5.86
1477;1;-0.250;1.150;-3.482;-0.07;-0.07;-0.09;0.54;0.21;-2.33;-7.93;5.38
1478;1;-0.250;1.250;-3.505;-0.05;-0.05;-0.05;0.43;0.11;-2.38;-7.03;4.81
1479;1;-0.250;1.350;-3.529;-0.04;-0.03;-0.03;0.32;0.04;-2.37;-6.00;4.19
1480;1;-0.250;1.450;-3.552;-0.03;-0.02;-0.02;0.27;0.00;-2.33;-4.83;3.54
1481;1;-0.250;1.550;-3.576;-0.02;-0.01;-0.01;0.24;-0.03;-2.22;-3.60;2.89
1482;1;-0.250;1.650;-3.599;-0.02;0.00;0.00;0.20;-0.04;-2.09;-2.43;2.29
1483;1;-0.250;1.750;-3.623;-0.02;0.00;0.00;0.18;-0.04;-1.98;-1.38;1.79
1484;1;-0.250;1.850;-3.646;-0.02;0.01;0.01;0.15;-0.03;-1.84;-0.48;1.34
1485;1;-0.250;1.950;-3.670;-0.01;0.01;0.01;0.13;-0.01;-1.68;0.29;0.93
1486;1;-0.350;0.050;-3.249;3.40;3.19;-3.22;14.11;-14.94;52.17;52.28;-37.79
1487;1;-0.350;0.150;-3.272;2.96;1.86;-2.50;6.12;-10.21;37.40;38.45;-22.02
1488;1;-0.350;0.250;-3.295;2.11;0.95;-1.89;1.77;-6.01;25.67;25.73;-9.89
1489;1;-0.350;0.350;-3.317;1.30;0.39;-1.40;0.53;-3.10;17.09;15.66;-1.75
1490;1;-0.350;0.450;-3.340;0.71;0.09;-1.00;0.43;-1.43;10.87;8.23;3.28
1491;1;-0.350;0.550;-3.363;0.33;-0.06;-0.69;0.54;-0.56;6.45;2.98;6.19
1492;1;-0.350;0.650;-3.386;0.12;-0.12;-0.47;0.60;-0.13;3.41;-0.62;7.72
1493;1;-0.350;0.750;-3.409;0.00;-0.14;-0.31;0.57;0.06;1.39;-3.00;8.38
1494;1;-0.350;0.850;-3.431;-0.05;-0.13;-0.20;0.49;0.13;0.09;-4.49;8.48
1495;1;-0.350;0.950;-3.454;-0.06;-0.11;-0.13;0.39;0.14;-0.73;-5.28;8.22
1496;1;-0.350;1.050;-3.477;-0.06;-0.09;-0.09;0.34;0.13;-1.23;-5.56;7.70
1497;1;-0.350;1.150;-3.500;-0.06;-0.07;-0.05;0.27;0.10;-1.59;-5.41;7.05
1498;1;-0.350;1.250;-3.523;-0.05;-0.06;-0.03;0.20;0.07;-1.83;-5.00;6.30
1499;1;-0.350;1.350;-3.545;-0.04;-0.04;-0.02;0.18;0.04;-1.98;-4.37;5.52
1500;1;-0.350;1.450;-3.568;-0.04;-0.03;-0.01;0.17;0.02;-2.06;-3.59;4.73
1501;1;-0.350;1.550;-3.591;-0.03;-0.02;0.00;0.16;0.01;-2.03;-2.70;3.93
1502;1;-0.350;1.650;-3.614;-0.03;-0.01;0.01;0.14;0.00;-1.98;-1.79;3.19
1503;1;-0.350;1.750;-3.637;-0.03;-0.01;0.01;0.13;0.01;-1.91;-0.95;2.53
1504;1;-0.350;1.850;-3.660;-0.02;0.00;0.01;0.11;0.01;-1.81;-0.20;1.94
1505;1;-0.350;1.950;-3.682;-0.02;0.01;0.01;0.09;0.02;-1.69;0.44;1.41
1506;1;-0.450;0.050;-3.274;2.51;2.44;-2.73;13.10;-10.86;52.60;53.68;-34.06
1507;1;-0.450;0.150;-3.296;2.30;1.37;-2.06;7.03;-6.96;37.82;39.74;-19.00
1508;1;-0.450;0.250;-3.318;1.73;0.70;-1.50;3.59;-4.49;26.00;28.05;-7.92
1509;1;-0.450;0.350;-3.340;1.14;0.30;-1.07;1.86;-2.69;17.25;18.87;-0.22
1510;1;-0.450;0.450;-3.362;0.68;0.07;-0.74;1.06;-1.51;11.02;11.91;4.68
1511;1;-0.450;0.550;-3.385;0.36;-0.04;-0.49;0.69;-0.81;6.70;6.78;7.55
1512;1;-0.450;0.650;-3.407;0.17;-0.10;-0.33;0.48;-0.41;3.77;3.08;9.04
1513;1;-0.450;0.750;-3.429;0.06;-0.12;-0.21;0.34;-0.18;1.81;0.47;9.65
1514;1;-0.450;0.850;-3.451;0.00;-0.12;-0.14;0.24;-0.06;0.52;-1.31;9.70
1515;1;-0.450;0.950;-3.473;-0.03;-0.11;-0.09;0.20;0.00;-0.36;-2.44;9.35
1516;1;-0.450;1.050;-3.495;-0.04;-0.09;-0.05;0.15;0.04;-0.98;-3.03;8.80
1517;1;-0.450;1.150;-3.518;-0.04;-0.08;-0.03;0.08;0.06;-1.42;-3.25;8.08
1518;1;-0.450;1.250;-3.540;-0.04;-0.06;-0.02;0.08;0.06;-1.73;-3.14;7.29
1519;1;-0.450;1.350;-3.562;-0.04;-0.05;-0.01;0.09;0.06;-1.94;-2.80;6.44
1520;1;-0.450;1.450;-3.584;-0.04;-0.04;0.00;0.09;0.05;-2.07;-2.31;5.59
1521;1;-0.450;1.550;-3.606;-0.04;-0.03;0.01;0.09;0.05;-2.09;-1.69;4.72
1522;1;-0.450;1.650;-3.629;-0.03;-0.02;0.01;0.08;0.04;-2.06;-1.01;3.88
1523;1;-0.450;1.750;-3.651;-0.03;-0.01;0.01;0.08;0.05;-2.01;-0.35;3.12
1524;1;-0.450;1.850;-3.673;-0.03;0.00;0.01;0.07;0.05;-1.94;0.25;2.43
1525;1;-0.450;1.950;-3.695;-0.03;0.01;0.01;0.06;0.06;-1.84;0.77;1.80
1526;1;-0.550;0.050;-3.298;1.80;1.85;-2.31;11.91;-8.47;51.40;54.33;-31.05
1527;1;-0.550;0.150;-3.320;1.71;1.00;-1.67;6.82;-5.09;36.73;40.67;-16.60
1528;1;-0.550;0.250;-3.341;1.33;0.50;-1.17;3.92;-3.39;25.07;29.57;-6.28
1529;1;-0.550;0.350;-3.363;0.91;0.20;-0.80;2.22;-2.21;16.48;21.02;0.83
1530;1;-0.550;0.450;-3.385;0.58;0.03;-0.54;1.24;-1.38;10.42;14.48;5.41
1531;1;-0.550;0.550;-3.406;0.33;-0.05;-0.35;0.70;-0.85;6.28;9.54;8.12
1532;1;-0.550;0.650;-3.428;0.17;-0.09;-0.22;0.37;-0.51;3.52;5.85;9.56
1533;1;-0.550;0.750;-3.449;0.08;-0.11;-0.14;0.19;-0.29;1.68;3.14;10.18
1534;1;-0.550;0.850;-3.471;0.02;-0.11;-0.09;0.12;-0.17;0.42;1.21;10.21
1535;1;-0.550;0.950;-3.492;-0.01;-0.10;-0.06;0.05;-0.06;-0.45;-0.11;9.94
1536;1;-0.550;1.050;-3.514;-0.02;-0.09;-0.04;-0.01;0.02;-1.07;-0.94;9.40
1537;1;-0.550;1.150;-3.535;-0.03;-0.08;-0.02;-0.01;0.06;-1.54;-1.37;8.72
1538;1;-0.550;1.250;-3.557;-0.03;-0.06;-0.01;0.00;0.08;-1.87;-1.47;7.92
1539;1;-0.550;1.350;-3.579;-0.03;-0.05;0.00;0.01;0.08;-2.10;-1.35;7.07
1540;1;-0.550;1.450;-3.600;-0.04;-0.04;0.00;0.02;0.08;-2.25;-1.07;6.19
1541;1;-0.550;1.550;-3.622;-0.04;-0.03;0.01;0.03;0.08;-2.30;-0.65;5.29
1542;1;-0.550;1.650;-3.643;-0.03;-0.02;0.01;0.03;0.08;-2.28;-0.16;4.40
1543;1;-0.550;1.750;-3.665;-0.03;-0.01;0.02;0.03;0.08;-2.24;0.34;3.57
1544;1;-0.550;1.850;-3.686;-0.03;0.00;0.02;0.03;0.08;-2.17;0.80;2.81
1545;1;-0.550;1.950;-3.708;-0.03;0.01;0.02;0.03;0.08;-2.09;1.21;2.11
1546;1;-0.650;0.050;-3.323;1.26;1.36;-1.90;10.58;-6.83;48.88;54.12;-28.48
1547;1;-0.650;0.150;-3.344;1.25;0.70;-1.34;6.12;-3.88;34.46;41.02;-14.65
1548;1;-0.650;0.250;-3.365;0.98;0.32;-0.90;3.62;-2.61;23.18;30.52;-5.02
1549;1;-0.650;0.350;-3.386;0.69;0.11;-0.60;2.10;-1.79;15.01;22.51;1.52
1550;1;-0.650;0.450;-3.407;0.46;-0.01;-0.39;1.15;-1.20;9.33;16.34;5.73
1551;1;-0.650;0.550;-3.428;0.28;-0.07;-0.25;0.59;-0.80;5.51;11.61;8.27
1552;1;-0.650;0.650;-3.449;0.16;-0.10;-0.16;0.27;-0.52;2.98;8.00;9.66
1553;1;-0.650;0.750;-3.470;0.08;-0.11;-0.10;0.13;-0.33;1.28;5.27;10.26
1554;1;-0.650;0.850;-3.490;0.04;-0.10;-0.06;0.02;-0.18;0.12;3.24;10.40
1555;1;-0.650;0.950;-3.511;0.01;-0.10;-0.04;-0.06;-0.04;-0.70;1.80;10.17
1556;1;-0.650;1.050;-3.532;0.00;-0.09;-0.03;-0.07;0.04;-1.32;0.85;9.71
1557;1;-0.650;1.150;-3.553;-0.01;-0.08;-0.01;-0.07;0.08;-1.80;0.27;9.07
1558;1;-0.650;1.250;-3.574;-0.02;-0.06;-0.01;-0.05;0.10;-2.15;0.00;8.30
1559;1;-0.650;1.350;-3.595;-0.03;-0.05;0.00;-0.04;0.11;-2.39;-0.03;7.46
1560;1;-0.650;1.450;-3.616;-0.03;-0.04;0.01;-0.03;0.11;-2.55;0.10;6.58
1561;1;-0.650;1.550;-3.637;-0.03;-0.03;0.01;-0.02;0.11;-2.61;0.35;5.68
1562;1;-0.650;1.650;-3.658;-0.03;-0.02;0.02;-0.02;0.10;-2.59;0.70;4.77
1563;1;-0.650;1.750;-3.679;-0.03;-0.01;0.02;-0.02;0.10;-2.55;1.06;3.91
1564;1;-0.650;1.850;-3.700;-0.03;0.00;0.02;-0.01;0.10;-2.49;1.41;3.10
1565;1;-0.650;1.950;-3.721;-0.03;0.01;0.02;-0.01;0.11;-2.42;1.73;2.35
1566;1;-0.750;0.050;-3.348;0.86;0.96;-1.52;9.14;-5.55;45.31;53.08;-26.13
1567;1;-0.750;0.150;-3.368;0.88;0.45;-1.04;5.20;-3.02;31.34;40.77;-13.00
1568;1;-0.750;0.250;-3.388;0.70;0.18;-0.69;3.08;-2.05;20.70;30.99;-4.07
1569;1;-0.750;0.350;-3.409;0.51;0.03;-0.44;1.77;-1.45;13.16;23.49;1.92
1570;1;-0.750;0.450;-3.429;0.35;-0.05;-0.28;0.94;-1.02;8.01;17.69;5.78
1571;1;-0.750;0.550;-3.449;0.22;-0.09;-0.18;0.45;-0.70;4.59;13.18;8.16
1572;1;-0.750;0.650;-3.470;0.14;-0.11;-0.12;0.21;-0.50;2.33;9.69;9.48
1573;1;-0.750;0.750;-3.490;0.08;-0.11;-0.07;0.05;-0.28;0.82;6.95;10.17
1574;1;-0.750;0.850;-3.510;0.05;-0.10;-0.05;-0.07;-0.10;-0.24;4.91;10.34
1575;1;-0.750;0.950;-3.530;0.03;-0.10;-0.03;-0.09;0.01;-1.05;3.40;10.20
1576;1;-0.750;1.050;-3.551;0.01;-0.08;-0.02;-0.10;0.07;-1.68;2.35;9.80
1577;1;-0.750;1.150;-3.571;0.00;-0.07;-0.01;-0.10;0.11;-2.17;1.67;9.22
1578;1;-0.750;1.250;-3.591;-0.01;-0.06;0.00;-0.09;0.12;-2.52;1.29;8.49
1579;1;-0.750;1.350;-3.612;-0.01;-0.05;0.00;-0.08;0.12;-2.76;1.14;7.67
1580;1;-0.750;1.450;-3.632;-0.02;-0.04;0.01;-0.07;0.13;-2.91;1.15;6.82
1581;1;-0.750;1.550;-3.652;-0.02;-0.02;0.01;-0.06;0.13;-2.98;1.29;5.92
1582;1;-0.750;1.650;-3.673;-0.02;-0.01;0.02;-0.06;0.13;-2.96;1.52;5.01
1583;1;-0.750;1.750;-3.693;-0.02;0.00;0.02;-0.05;0.13;-2.92;1.78;4.14
1584;1;-0.750;1.850;-3.713;-0.02;0.01;0.02;-0.04;0.12;-2.86;2.04;3.31
1585;1;-0.750;1.950;-3.734;-0.03;0.02;0.02;-0.04;0.12;-2.79;2.28;2.54
1586;1;-0.850;0.050;-3.372;0.57;0.63;-1.18;7.64;-4.48;40.97;51.27;-23.85
1587;1;-0.850;0.150;-3.392;0.61;0.25;-0.80;4.22;-2.37;27.71;39.97;-11.56
1588;1;-0.850;0.250;-3.412;0.49;0.06;-0.52;2.46;-1.63;17.93;31.01;-3.36
1589;1;-0.850;0.350;-3.431;0.37;-0.03;-0.33;1.38;-1.16;11.18;24.07;2.10
1590;1;-0.850;0.450;-3.451;0.26;-0.08;-0.21;0.72;-0.84;6.66;18.64;5.65
1591;1;-0.850;0.550;-3.471;0.18;-0.11;-0.14;0.37;-0.61;3.64;14.35;7.85
1592;1;-0.850;0.650;-3.490;0.12;-0.11;-0.09;0.14;-0.37;1.70;10.92;9.18
1593;1;-0.850;0.750;-3.510;0.08;-0.11;-0.06;-0.03;-0.15;0.32;8.27;9.86
1594;1;-0.850;0.850;-3.530;0.06;-0.10;-0.04;-0.08;-0.02;-0.69;6.24;10.13
1595;1;-0.850;0.950;-3.550;0.04;-0.09;-0.03;-0.12;0.06;-1.49;4.70;10.06
1596;1;-0.850;1.050;-3.569;0.03;-0.08;-0.02;-0.12;0.11;-2.11;3.61;9.73
1597;1;-0.850;1.150;-3.589;0.02;-0.07;-0.01;-0.12;0.13;-2.58;2.86;9.21
1598;1;-0.850;1.250;-3.609;0.01;-0.06;0.00;-0.12;0.14;-2.93;2.39;8.54
1599;1;-0.850;1.350;-3.628;0.00;-0.04;0.01;-0.11;0.14;-3.16;2.16;7.76
1600;1;-0.850;1.450;-3.648;0.00;-0.03;0.01;-0.10;0.14;-3.31;2.08;6.93
1601;1;-0.850;1.550;-3.668;-0.01;-0.02;0.01;-0.10;0.14;-3.37;2.13;6.06
1602;1;-0.850;1.650;-3.687;-0.01;-0.01;0.02;-0.09;0.14;-3.35;2.27;5.17
1603;1;-0.850;1.750;-3.707;-0.01;0.00;0.02;-0.08;0.14;-3.32;2.46;4.30
1604;1;-0.850;1.850;-3.727;-0.02;0.02;0.02;-0.07;0.14;-3.26;2.65;3.46
1605;1;-0.850;1.950;-3.746;-0.02;0.03;0.02;-0.07;0.14;-3.19;2.83;2.67
1606;1;-0.950;0.050;-3.397;0.35;0.37;-0.89;6.14;-3.52;36.15;48.75;-21.59
1607;1;-0.950;0.150;-3.416;0.41;0.10;-0.59;3.28;-1.86;23.88;38.67;-10.28
1608;1;-0.950;0.250;-3.435;0.34;-0.02;-0.39;1.87;-1.29;15.14;30.63;-2.84
1609;1;-0.950;0.350;-3.454;0.26;-0.08;-0.25;1.03;-0.92;9.26;24.28;2.12
1610;1;-0.950;0.450;-3.473;0.20;-0.11;-0.16;0.58;-0.71;5.33;19.24;5.37
1611;1;-0.950;0.550;-3.492;0.14;-0.11;-0.10;0.26;-0.44;2.81;15.12;7.46
1612;1;-0.950;0.650;-3.511;0.11;-0.11;-0.07;0.04;-0.19;1.08;11.88;8.75
1613;1;-0.950;0.750;-3.530;0.08;-0.11;-0.05;-0.04;-0.05;-0.19;9.31;9.50
1614;1;-0.950;0.850;-3.550;0.07;-0.10;-0.04;-0.09;0.06;-1.17;7.29;9.82
1615;1;-0.950;0.950;-3.569;0.06;-0.09;-0.02;-0.12;0.11;-1.96;5.75;9.82
1616;1;-0.950;1.050;-3.588;0.04;-0.07;-0.02;-0.13;0.13;-2.57;4.63;9.55
1617;1;-0.950;1.150;-3.607;0.03;-0.06;-0.01;-0.13;0.15;-3.04;3.83;9.09
1618;1;-0.950;1.250;-3.626;0.03;-0.05;0.00;-0.13;0.15;-3.37;3.32;8.47
1619;1;-0.950;1.350;-3.645;0.02;-0.03;0.01;-0.13;0.16;-3.58;3.02;7.74
1620;1;-0.950;1.450;-3.664;0.01;-0.02;0.01;-0.13;0.16;-3.72;2.88;6.95
1621;1;-0.950;1.550;-3.683;0.00;-0.01;0.01;-0.12;0.16;-3.77;2.88;6.11
1622;1;-0.950;1.650;-3.702;0.00;0.00;0.02;-0.11;0.16;-3.76;2.96;5.25
1623;1;-0.950;1.750;-3.721;0.00;0.01;0.02;-0.11;0.16;-3.73;3.09;4.39
1624;1;-0.950;1.850;-3.740;-0.01;0.02;0.02;-0.10;0.15;-3.67;3.23;3.56
1625;1;-0.950;1.950;-3.759;-0.01;0.04;0.02;-0.10;0.14;-3.59;3.37;2.76
1626;1;-1.050;0.050;-3.422;0.20;0.17;-0.65;4.73;-2.68;31.13;45.63;-19.33
1627;1;-1.050;0.150;-3.440;0.26;-0.01;-0.44;2.44;-1.44;20.10;36.95;-9.15
1628;1;-1.050;0.250;-3.459;0.23;-0.08;-0.29;1.37;-1.02;12.51;29.89;-2.49
1629;1;-1.050;0.350;-3.477;0.19;-0.11;-0.19;0.81;-0.77;7.46;24.19;2.00
1630;1;-1.050;0.450;-3.495;0.14;-0.12;-0.13;0.42;-0.50;4.21;19.44;5.00
1631;1;-1.050;0.550;-3.514;0.12;-0.12;-0.09;0.15;-0.21;2.03;15.64;6.98
1632;1;-1.050;0.650;-3.532;0.10;-0.11;-0.06;0.04;-0.05;0.47;12.55;8.28
1633;1;-1.050;0.750;-3.551;0.09;-0.10;-0.05;-0.04;0.05;-0.74;10.06;9.07
1634;1;-1.050;0.850;-3.569;0.08;-0.09;-0.03;-0.08;0.11;-1.70;8.09;9.45
1635;1;-1.050;0.950;-3.588;0.07;-0.08;-0.02;-0.11;0.14;-2.46;6.57;9.50
1636;1;-1.050;1.050;-3.606;0.06;-0.06;-0.01;-0.12;0.15;-3.05;5.43;9.29
1637;1;-1.050;1.150;-3.625;0.05;-0.05;-0.01;-0.13;0.17;-3.50;4.61;8.90
1638;1;-1.050;1.250;-3.643;0.04;-0.04;0.00;-0.14;0.17;-3.80;4.07;8.33
1639;1;-1.050;1.350;-3.661;0.03;-0.02;0.01;-0.14;0.17;-4.00;3.74;7.65
1640;1;-1.050;1.450;-3.680;0.03;-0.01;0.01;-0.14;0.17;-4.12;3.57;6.91
1641;1;-1.050;1.550;-3.698;0.02;0.00;0.01;-0.14;0.17;-4.17;3.52;6.11
1642;1;-1.050;1.650;-3.717;0.01;0.01;0.01;-0.13;0.17;-4.17;3.56;5.27
1643;1;-1.050;1.750;-3.735;0.01;0.02;0.02;-0.13;0.16;-4.13;3.65;4.44
1644;1;-1.050;1.850;-3.754;0.01;0.03;0.02;-0.12;0.16;-4.07;3.76;3.62
1645;1;-1.050;1.950;-3.772;0.00;0.04;0.02;-0.12;0.15;-3.99;3.86;2.83
1646;1;-1.150;0.050;-3.446;0.09;0.02;-0.48;3.49;-1.94;26.17;42.08;-17.06
1647;1;-1.150;0.150;-3.464;0.16;-0.09;-0.33;1.80;-1.06;16.58;34.96;-8.17
1648;1;-1.150;0.250;-3.482;0.15;-0.12;-0.22;1.07;-0.81;10.12;28.85;-2.25
1649;1;-1.150;0.350;-3.500;0.13;-0.13;-0.15;0.59;-0.53;5.96;23.68;1.77
1650;1;-1.150;0.450;-3.518;0.12;-0.13;-0.11;0.27;-0.23;3.22;19.43;4.56
1651;1;-1.150;0.550;-3.535;0.11;-0.12;-0.08;0.13;-0.06;1.31;15.89;6.49
1652;1;-1.150;0.650;-3.553;0.10;-0.11;-0.06;0.04;0.05;-0.15;12.96;7.79
1653;1;-1.150;0.750;-3.571;0.10;-0.10;-0.05;-0.02;0.12;-1.30;10.57;8.61
1654;1;-1.150;0.850;-3.589;0.09;-0.08;-0.03;-0.07;0.15;-2.23;8.67;9.04
1655;1;-1.150;0.950;-3.607;0.08;-0.07;-0.02;-0.10;0.16;-2.96;7.18;9.15
1656;1;-1.150;1.050;-3.625;0.08;-0.05;-0.01;-0.12;0.18;-3.51;6.06;9.00
1657;1;-1.150;1.150;-3.642;0.07;-0.04;-0.01;-0.13;0.18;-3.93;5.25;8.66
1658;1;-1.150;1.250;-3.660;0.06;-0.03;0.00;-0.14;0.18;-4.20;4.69;8.15
1659;1;-1.150;1.350;-3.678;0.05;-0.01;0.00;-0.14;0.18;-4.39;4.33;7.53
1660;1;-1.150;1.450;-3.696;0.04;0.00;0.01;-0.15;0.19;-4.51;4.13;6.83
1661;1;-1.150;1.550;-3.714;0.04;0.01;0.01;-0.15;0.18;-4.56;4.06;6.06
1662;1;-1.150;1.650;-3.731;0.03;0.02;0.01;-0.15;0.18;-4.56;4.07;5.26
1663;1;-1.150;1.750;-3.749;0.02;0.03;0.01;-0.14;0.17;-4.52;4.13;4.46
1664;1;-1.150;1.850;-3.767;0.02;0.04;0.01;-0.14;0.16;-4.46;4.22;3.65
1665;1;-1.150;1.950;-3.785;0.02;0.06;0.01;-0.13;0.15;-4.38;4.30;2.88
1666;1;-1.250;0.050;-3.471;0.02;-0.09;-0.36;2.50;-1.34;21.46;38.22;-14.86
1667;1;-1.250;0.150;-3.488;0.09;-0.14;-0.25;1.39;-0.73;13.46;32.78;-7.33
1668;1;-1.250;0.250;-3.505;0.09;-0.14;-0.17;0.81;-0.51;8.13;27.48;-2.14
1669;1;-1.250;0.350;-3.523;0.10;-0.14;-0.13;0.43;-0.23;4.69;23.01;1.51
1670;1;-1.250;0.450;-3.540;0.10;-0.13;-0.10;0.25;-0.06;2.32;19.17;4.12
1671;1;-1.250;0.550;-3.557;0.10;-0.12;-0.08;0.14;0.06;0.57;15.88;5.98
1672;1;-1.250;0.650;-3.574;0.11;-0.10;-0.06;0.06;0.13;-0.79;13.13;7.29
1673;1;-1.250;0.750;-3.591;0.11;-0.09;-0.04;0.00;0.16;-1.89;10.87;8.14
1674;1;-1.250;0.850;-3.609;0.10;-0.07;-0.03;-0.05;0.17;-2.76;9.04;8.61
1675;1;-1.250;0.950;-3.626;0.10;-0.06;-0.02;-0.08;0.18;-3.44;7.61;8.77
1676;1;-1.250;1.050;-3.643;0.09;-0.04;-0.01;-0.10;0.19;-3.96;6.51;8.68
1677;1;-1.250;1.150;-3.660;0.08;-0.03;-0.01;-0.13;0.18;-4.33;5.70;8.39
1678;1;-1.250;1.250;-3.677;0.07;-0.01;0.00;-0.14;0.19;-4.58;5.15;7.94
1679;1;-1.250;1.350;-3.695;0.06;0.00;0.00;-0.14;0.20;-4.76;4.79;7.37
1680;1;-1.250;1.450;-3.712;0.06;0.01;0.01;-0.15;0.19;-4.88;4.59;6.72
1681;1;-1.250;1.550;-3.729;0.05;0.02;0.01;-0.15;0.19;-4.93;4.50;5.99
1682;1;-1.250;1.650;-3.746;0.05;0.04;0.01;-0.15;0.18;-4.93;4.50;5.23
1683;1;-1.250;1.750;-3.763;0.04;0.05;0.01;-0.15;0.17;-4.89;4.55;4.45
1684;1;-1.250;1.850;-3.780;0.03;0.06;0.01;-0.15;0.16;-4.83;4.62;3.67
1685;1;-1.250;1.950;-3.798;0.03;0.07;0.01;-0.15;0.15;-4.76;4.69;2.91
1686;1;-1.350;0.050;-3.496;-0.02;-0.13;-0.25;1.61;-0.87;17.25;34.15;-12.92
1687;1;-1.350;0.150;-3.512;0.04;-0.16;-0.20;0.85;-0.48;10.87;30.32;-6.67
1688;1;-1.350;0.250;-3.529;0.06;-0.16;-0.15;0.55;-0.21;6.49;26.02;-2.04
1689;1;-1.350;0.350;-3.545;0.08;-0.15;-0.12;0.39;-0.04;3.58;22.17;1.25
