element_number;x[m];y[m];t[mm]
601.0;0.125;3.125;60.1362455839
602.0;0.125;3.375;60.3382478416
603.0;0.375;0.125;264.382588484
604.0;0.375;0.375;207.42654812
605.0;0.375;0.625;159.76899307
606.0;0.375;0.875;121.254059895
607.0;0.375;1.125;91.9813891902
608.0;0.375;1.375;72.0321965391
609.0;0.375;1.625;61.6638648557
610.0;0.375;1.875;60.1239371554
611.0;0.375;2.125;60.1471137098
612.0;0.375;2.375;60.1278887407
613.0;0.375;2.625;60.1301920984
614.0;0.375;2.875;60.1262905064
615.0;0.375;3.125;60.1299204359
616.0;0.375;3.375;60.1800725201
617.0;0.625;0.125;207.356570697
618.0;0.625;0.375;159.768757798
619.0;0.625;0.625;121.245342361
620.0;0.625;0.875;91.9714399302
621.0;0.625;1.125;72.0241022645
622.0;0.625;1.375;61.763712022
623.0;0.625;1.625;60.0655604923
624.0;0.625;1.875;60.1456462125
625.0;0.625;2.125;60.1303436656
626.0;0.625;2.375;60.1351145312
627.0;0.625;2.625;60.1322064346
628.0;0.625;2.875;60.1282576672
629.0;0.625;3.125;60.1280078698
630.0;0.625;3.375;60.164873675
631.0;0.875;0.125;159.816177774
632.0;0.875;0.375;121.254611712
633.0;0.875;0.625;91.9708062819
634.0;0.875;0.875;72.0455217019
635.0;0.875;1.125;61.6856173091
636.0;0.875;1.375;60.0482694677
637.0;0.875;1.625;60.1473961506
638.0;0.875;1.875;60.1272369282
639.0;0.875;2.125;60.1294865921
640.0;0.875;2.375;60.1287577487
641.0;0.875;2.625;60.129686571
642.0;0.875;2.875;60.1280679085
643.0;0.875;3.125;60.1296364961
644.0;0.875;3.375;60.1597111849
645.0;1.125;0.125;121.285326569
646.0;1.125;0.375;91.9815992669
647.0;1.125;0.625;72.0238282703
648.0;1.125;0.875;61.685658626
649.0;1.125;1.125;60.1292214033
650.0;1.125;1.375;60.1448549994
651.0;1.125;1.625;60.1286247707
652.0;1.125;1.875;60.1298627576
653.0;1.125;2.125;60.1296137087
654.0;1.125;2.375;60.1296803852
655.0;1.125;2.625;60.1299755421
656.0;1.125;2.875;60.1284910438
657.0;1.125;3.125;60.1297852008
658.0;1.125;3.375;60.1518522205
659.0;1.375;0.125;92.0072905518
660.0;1.375;0.375;72.0321136845
661.0;1.375;0.625;61.7635413479
662.0;1.375;0.875;60.0483093752
663.0;1.375;1.125;60.1448588347
664.0;1.375;1.375;60.1250174777
665.0;1.375;1.625;60.130404259
666.0;1.375;1.875;60.1296624163
667.0;1.375;2.125;60.1298221136
668.0;1.375;2.375;60.1297919584
669.0;1.375;2.625;60.1299920354
670.0;1.375;2.875;60.1287808288
671.0;1.375;3.125;60.1293226737
672.0;1.375;3.375;60.1481056831
673.0;1.625;0.125;72.0569238137
674.0;1.625;0.375;61.6639133646
675.0;1.625;0.625;60.0654272304
676.0;1.625;0.875;60.1474197831
677.0;1.625;1.125;60.1286261342
678.0;1.625;1.375;60.1304046709
679.0;1.625;1.625;60.129690971
680.0;1.625;1.875;60.1297462788
681.0;1.625;2.125;60.1297197522
682.0;1.625;2.375;60.129732098
683.0;1.625;2.625;60.1299057124
684.0;1.625;2.875;60.1289022221
685.0;1.625;3.125;60.1296835872
686.0;1.625;3.375;60.1448815347
687.0;1.875;0.125;61.6918796165
688.0;1.875;0.375;60.1239719382
689.0;1.875;0.625;60.1455405971
690.0;1.875;0.875;60.1272552135
691.0;1.875;1.125;60.1298634097
692.0;1.875;1.375;60.1296628738
693.0;1.875;1.625;60.1297457384
694.0;1.875;1.875;60.1297316594
695.0;1.875;2.125;60.1297287971
