Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
305;Standard;0;Kartesisch;1.400;-1.000;-3.663;
306;Standard;0;Kartesisch;1.400;-1.100;-3.679;
307;Standard;0;Kartesisch;1.400;-1.200;-3.695;
308;Standard;0;Kartesisch;1.400;-1.300;-3.711;
309;Standard;0;Kartesisch;1.400;-1.400;-3.728;
310;Standard;0;Kartesisch;1.400;-1.500;-3.744;
311;Standard;0;Kartesisch;1.400;-1.600;-3.760;
312;Standard;0;Kartesisch;1.400;-1.700;-3.776;
313;Standard;0;Kartesisch;1.400;-1.800;-3.793;
314;Standard;0;Kartesisch;1.400;-1.900;-3.809;
315;Standard;0;Kartesisch;1.400;-2.000;-3.825;
316;Standard;0;Kartesisch;1.500;0.000;-3.525;
317;Standard;0;Kartesisch;1.500;-0.100;-3.541;
318;Standard;0;Kartesisch;1.500;-0.200;-3.556;
319;Standard;0;Kartesisch;1.500;-0.300;-3.572;
320;Standard;0;Kartesisch;1.500;-0.400;-3.588;
321;Standard;0;Kartesisch;1.500;-0.500;-3.603;
322;Standard;0;Kartesisch;1.500;-0.600;-3.619;
323;Standard;0;Kartesisch;1.500;-0.700;-3.634;
324;Standard;0;Kartesisch;1.500;-0.800;-3.650;
325;Standard;0;Kartesisch;1.500;-0.900;-3.666;
326;Standard;0;Kartesisch;1.500;-1.000;-3.681;
327;Standard;0;Kartesisch;1.500;-1.100;-3.697;
328;Standard;0;Kartesisch;1.500;-1.200;-3.713;
329;Standard;0;Kartesisch;1.500;-1.300;-3.728;
330;Standard;0;Kartesisch;1.500;-1.400;-3.744;
331;Standard;0;Kartesisch;1.500;-1.500;-3.759;
332;Standard;0;Kartesisch;1.500;-1.600;-3.775;
333;Standard;0;Kartesisch;1.500;-1.700;-3.791;
334;Standard;0;Kartesisch;1.500;-1.800;-3.806;
335;Standard;0;Kartesisch;1.500;-1.900;-3.822;
336;Standard;0;Kartesisch;1.500;-2.000;-3.838;
337;Standard;0;Kartesisch;1.600;0.000;-3.550;
338;Standard;0;Kartesisch;1.600;-0.100;-3.565;
339;Standard;0;Kartesisch;1.600;-0.200;-3.580;
340;Standard;0;Kartesisch;1.600;-0.300;-3.595;
341;Standard;0;Kartesisch;1.600;-0.400;-3.610;
342;Standard;0;Kartesisch;1.600;-0.500;-3.625;
343;Standard;0;Kartesisch;1.600;-0.600;-3.640;
344;Standard;0;Kartesisch;1.600;-0.700;-3.655;
345;Standard;0;Kartesisch;1.600;-0.800;-3.670;
346;Standard;0;Kartesisch;1.600;-0.900;-3.685;
347;Standard;0;Kartesisch;1.600;-1.000;-3.700;
348;Standard;0;Kartesisch;1.600;-1.100;-3.715;
349;Standard;0;Kartesisch;1.600;-1.200;-3.730;
350;Standard;0;Kartesisch;1.600;-1.300;-3.745;
351;Standard;0;Kartesisch;1.600;-1.400;-3.760;
352;Standard;0;Kartesisch;1.600;-1.500;-3.775;
353;Standard;0;Kartesisch;1.600;-1.600;-3.790;
354;Standard;0;Kartesisch;1.600;-1.700;-3.805;
355;Standard;0;Kartesisch;1.600;-1.800;-3.820;
356;Standard;0;Kartesisch;1.600;-1.900;-3.835;
357;Standard;0;Kartesisch;1.600;-2.000;-3.850;
358;Standard;0;Kartesisch;1.700;0.000;-3.575;
359;Standard;0;Kartesisch;1.700;-0.100;-3.589;
360;Standard;0;Kartesisch;1.700;-0.200;-3.604;
361;Standard;0;Kartesisch;1.700;-0.300;-3.618;
362;Standard;0;Kartesisch;1.700;-0.400;-3.633;
363;Standard;0;Kartesisch;1.700;-0.500;-3.647;
364;Standard;0;Kartesisch;1.700;-0.600;-3.661;
365;Standard;0;Kartesisch;1.700;-0.700;-3.676;
366;Standard;0;Kartesisch;1.700;-0.800;-3.690;
367;Standard;0;Kartesisch;1.700;-0.900;-3.704;
368;Standard;0;Kartesisch;1.700;-1.000;-3.719;
369;Standard;0;Kartesisch;1.700;-1.100;-3.733;
370;Standard;0;Kartesisch;1.700;-1.200;-3.748;
371;Standard;0;Kartesisch;1.700;-1.300;-3.762;
372;Standard;0;Kartesisch;1.700;-1.400;-3.776;
373;Standard;0;Kartesisch;1.700;-1.500;-3.791;
374;Standard;0;Kartesisch;1.700;-1.600;-3.805;
375;Standard;0;Kartesisch;1.700;-1.700;-3.819;
376;Standard;0;Kartesisch;1.700;-1.800;-3.834;
377;Standard;0;Kartesisch;1.700;-1.900;-3.848;
378;Standard;0;Kartesisch;1.700;-2.000;-3.863;
379;Standard;0;Kartesisch;1.800;0.000;-3.600;
380;Standard;0;Kartesisch;1.800;-0.100;-3.614;
381;Standard;0;Kartesisch;1.800;-0.200;-3.628;
382;Standard;0;Kartesisch;1.800;-0.300;-3.641;
383;Standard;0;Kartesisch;1.800;-0.400;-3.655;
384;Standard;0;Kartesisch;1.800;-0.500;-3.669;
385;Standard;0;Kartesisch;1.800;-0.600;-3.683;
386;Standard;0;Kartesisch;1.800;-0.700;-3.696;
387;Standard;0;Kartesisch;1.800;-0.800;-3.710;
388;Standard;0;Kartesisch;1.800;-0.900;-3.724;
389;Standard;0;Kartesisch;1.800;-1.000;-3.738;
390;Standard;0;Kartesisch;1.800;-1.100;-3.751;
391;Standard;0;Kartesisch;1.800;-1.200;-3.765;
392;Standard;0;Kartesisch;1.800;-1.300;-3.779;
393;Standard;0;Kartesisch;1.800;-1.400;-3.793;
